Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
20,20,bébé,baby
21,21,longtemps,long time
22,22,heures,hours
23,23,vont,will
24,24,pendant,while
25,25,revoir,meet again
26,26,aucune,any
27,27,place,square
28,28,parle,speak
29,29,compris,understood
30,30,savais,knew
31,31,étaient,were
32,32,attention,Warning
33,33,voici,here is
34,34,pourrais,could
35,35,affaire,case
37,37,type,type
38,38,leurs,their
39,39,donné,given
40,40,train,train
41,41,corps,body
42,42,endroit,place
43,43,yeux,eyes
44,44,façon,way
45,45,écoute,listen
46,46,dont,whose
47,47,trouve,find
48,48,premier,first
49,49,perdu,lost
50,50,main,hand
51,52,côté,side
52,53,pouvoir,power
53,54,vieux,old
54,55,sois,be
55,56,tiens,here
56,57,matin,morning
57,58,tellement,so much
58,59,enfant,child
59,60,point,point
60,62,suite,after
61,63,pardon,sorry
62,64,venez,come
63,65,devant,in front of
64,66,vers,towards
65,67,minutes,minutes
66,68,demandé,request
67,69,chambre,bedroom
68,70,mis,placed
69,71,belle,beautiful
70,72,droit,law
71,73,aimerais,would like to
72,74,aujourd'hui,today
73,75,mari,husband
74,76,cause,cause
75,77,enfin,finally
76,78,espère,hope
77,79,eau,water
78,80,attendez,Wait
79,81,parti,left
80,82,nouvelle,new
81,83,boulot,job
82,84,arrêter,Stop
83,85,dirait,would say
84,86,terre,Earth
85,87,compte,account
86,88,donne,given
87,89,loin,far
88,90,fin,end
89,91,croire,believe
90,92,chérie,sweetheart
91,93,gros,large
92,94,plutôt,rather
93,95,aura,will have
94,96,filles,girls
95,97,jouer,to play
96,98,bureau,office
